lat	lon	title	description	icon	iconsize	iconoffset
50.9144265	-1.3580154	The Red Lion	Not Visited	no_visit.png	24,24	0,0
50.840933	-1.097682	The Sir Alec Rose	Not Visited	no_visit.png	24,24	0,0
50.815450	-1.079544	The Sir John Baker	Not Visited	no_visit.png	24,24	0,0
50.757491	-1.545543	The Six Bells	Not Visited	no_visit.png	24,24	0,0
50.900512	-1.403771	The Standing Order	Not Visited	no_visit.png	24,24	0,0
50.795369	-1.121126	The Star	Not Visited	no_visit.png	24,24	0,0
51.293438	-0.756707	The Tilly Shilling	Not Visited	no_visit.png	24,24	0,0
50.969443	-1.350602	The Wagon Works	Not Visited	no_visit.png	24,24	0,0
52.227174	-2.737973	The Duke’s Head	Not Visited	no_visit.png	24,24	0,0
52.058302	-2.710562	The Kings Fee	Not Visited	no_visit.png	24,24	0,0
51.913820	-2.582069	The Mail Rooms	Not Visited	no_visit.png	24,24	0,0
51.658455	-0.400775	Colombia Press	Not Visited	no_visit.png	24,24	0,0
51.762955	-0.240634	Harpsfield Hall	Not Visited	no_visit.png	24,24	0,0
51.699604	-0.190230	The Admiral Byng	Not Visited	no_visit.png	24,24	0,0
51.946575	-0.278658	The Angel Vaults Inn	Not Visited	no_visit.png	24,24	0,0
51.759795	-0.563154	The Crown	Not Visited	no_visit.png	24,24	0,0
51.753486	-0.472611	The Full House	Not Visited	no_visit.png	24,24	0,0
51.657342	-0.272238	The Hart & Spool	Not Visited	no_visit.png	24,24	0,0
51.700886	-0.034147	The King James	Not Visited	no_visit.png	24,24	0,0
52.048273	-0.023027	The Manor House	Not Visited	no_visit.png	24,24	0,0
51.684945	-0.032768	The Moon and Cross	Not Visited	no_visit.png	24,24	0,0
51.656475	-0.397830	The Moon Under Water	Not Visited	no_visit.png	24,24	0,0
51.638871	-0.469790	The Pennsylvanian	Not Visited	no_visit.png	24,24	0,0
51.869167	0.1621040	The Port Jackson	Not Visited	no_visit.png	24,24	0,0
51.796030	-0.079142	The Six Templars	Not Visited	no_visit.png	24,24	0,0
51.901175	-0.202702	The Standard Bearer	Not Visited	no_visit.png	24,24	0,0
51.912074	-0.208075	The Standing Order	Not Visited	no_visit.png	24,24	0,0
51.761613	-0.011790	The Star	Not Visited	no_visit.png	24,24	0,0
51.979248	-0.226942	The Three Magnets	Not Visited	no_visit.png	24,24	0,0
51.752619	-0.337335	Waterend Barn	Not Visited	no_visit.png	24,24	0,0
50.730365	-1.162669	S. Fowler & Co.	Not Visited	no_visit.png	24,24	0,0
50.700145	-1.295876	The Man in the Moon	Not Visited	no_visit.png	24,24	0,0
51.133718	0.2637850	Opera House	Not Visited	no_visit.png	24,24	0,0
51.440797	0.7602920	The Belle and Lion	Not Visited	no_visit.png	24,24	0,0
51.149034	0.8751480	The County Hotel	Not Visited	no_visit.png	24,24	0,0
51.125805	1.3125920	The Eight Bells	Not Visited	no_visit.png	24,24	0,0
51.444745	0.2147930	The Flying Boat	Not Visited	no_visit.png	24,24	0,0
51.340422	0.7321640	The Golden Hope	Not Visited	no_visit.png	24,24	0,0
51.386571	0.5067900	The Golden Lion	Not Visited	no_visit.png	24,24	0,0
51.195131	0.2745080	The Humphrey Bean	Not Visited	no_visit.png	24,24	0,0
51.313756	0.8910830	The Leading Light	Not Visited	no_visit.png	24,24	0,0
51.386708	1.3778250	The Mechanical Elephant	Not Visited	no_visit.png	24,24	0,0
51.273694	0.5222650	The Muggleton Inn	Not Visited	no_visit.png	24,24	0,0
51.356540	1.0242310	The Peter Cushing	Not Visited	no_visit.png	24,24	0,0
51.442330	0.3692270	The Robert Pocock	Not Visited	no_visit.png	24,24	0,0
51.3320363	1.423482	Royal Victoria Pavilion	Not Visited	no_visit.png	24,24	0,0
51.080596	1.1814200	The Samuel Peto	Not Visited	no_visit.png	24,24	0,0
51.372729	1.1259890	The Saxon Shore	Not Visited	no_visit.png	24,24	0,0
51.272538	0.1925590	The Sennockian	Not Visited	no_visit.png	24,24	0,0
51.223092	1.4017470	The Sir Norman Wisdom	Not Visited	no_visit.png	24,24	0,0
51.277600	0.5218070	The Society Rooms	Not Visited	no_visit.png	24,24	0,0
51.278429	1.0835040	The Thomas Ingoldsby	Not Visited	no_visit.png	24,24	0,0
51.382159	0.522704	The Thomas Waghorn	Not Visited	no_visit.png	24,24	0,0
51.281969	1.0756650	The West Gate Inn	Not Visited	no_visit.png	24,24	0,0
53.816919	-3.055058	The Albert and The Lion	Not Visited	no_visit.png	24,24	0,0
53.489888	-2.092356	The Ash Tree	Not Visited	no_visit.png	24,24	0,0
53.788985	-2.240758	The Boot Inn	Not Visited	no_visit.png	24,24	0,0
53.787999	-2.243917	The Brun Lea	Not Visited	no_visit.png	24,24	0,0
53.752709	-2.363892	The Commercial Hotel	Not Visited	no_visit.png	24,24	0,0
53.568405	-2.885233	The Court Leet	Not Visited	no_visit.png	24,24	0,0
54.072496	-2.866207	The Eric Bartholomew	Not Visited	no_visit.png	24,24	0,0
53.760301	-2.702992	The Grey Friar	Not Visited	no_visit.png	24,24	0,0
53.876358	-3.037271	The Jolly Tars	Not Visited	no_visit.png	24,24	0,0
53.818256	-3.055122	The Layton Rakes	Not Visited	no_visit.png	24,24	0,0
53.695493	-2.692648	The Leyland Lion	Not Visited	no_visit.png	24,24	0,0
53.696006	-2.465437	The Old Chapel	Not Visited	no_visit.png	24,24	0,0
53.746712	-2.482473	The Postal Order	Not Visited	no_visit.png	24,24	0,0
53.845362	-2.992392	The Poulton Elk	Not Visited	no_visit.png	24,24	0,0
53.738048	-2.956792	The Railway Hotel	Not Visited	no_visit.png	24,24	0,0
53.617305	-2.156811	The Regal Moon	Not Visited	no_visit.png	24,24	0,0
53.653949	-2.630574	The Sir Henry Tate	Not Visited	no_visit.png	24,24	0,0
54.046889	-2.800320	The Sir Richard Owen	Not Visited	no_visit.png	24,24	0,0
53.486816	-2.637073	The Sir Thomas Gerard	Not Visited	no_visit.png	24,24	0,0
53.499335	-2.518967	The Thomas Burke	Not Visited	no_visit.png	24,24	0,0
53.921906	-3.011607	The Thomas Drummond	Not Visited	no_visit.png	24,24	0,0
53.750937	-3.029976	The Trawl Boat Inn	Not Visited	no_visit.png	24,24	0,0
53.758722	-2.696868	The Twelve Tellers	Not Visited	no_visit.png	24,24	0,0
53.794853	-3.056067	The Velvet Coaster	Not Visited	no_visit.png	24,24	0,0
53.856709	-2.170443	The Wallace Hartley	Not Visited	no_visit.png	24,24	0,0
52.773730	-1.209355	The Amber Rooms	Not Visited	no_visit.png	24,24	0,0
52.541109	-1.373968	The Baron of Hinckley	Not Visited	no_visit.png	24,24	0,0
52.634591	-1.133307	The Corn Exchange	Not Visited	no_visit.png	24,24	0,0
52.635339	-1.138583	The High Cross	Not Visited	no_visit.png	24,24	0,0
52.765710	-0.889285	The Kettleby Cross	Not Visited	no_visit.png	24,24	0,0
52.632709	-1.128656	The Last Plantagenet	Not Visited	no_visit.png	24,24	0,0
52.600848	-1.084080	The Lord Keeper of the Great Seal	Not Visited	no_visit.png	24,24	0,0
52.723504	-1.374327	The Monkey Walk	Not Visited	no_visit.png	24,24	0,0
52.769260	-1.207661	The Moon & Bell	Not Visited	no_visit.png	24,24	0,0
52.746712	-1.473575	The Shoulder of Mutton	Not Visited	no_visit.png	24,24	0,0
52.478993	-0.922402	The Sugar Loaf	Not Visited	no_visit.png	24,24	0,0
52.642978	-1.046835	The White House	Not Visited	no_visit.png	24,24	0,0
52.587736	-1.105556	The William Wygston	Not Visited	no_visit.png	24,24	0,0
53.224370	-0.543243	Ritz	Not Visited	no_visit.png	24,24	0,0
53.560768	-0.031085	The Coliseum Picture Theatre	Not Visited	no_visit.png	24,24	0,0
52.788547	-0.151381	The Ivy Wall	Not Visited	no_visit.png	24,24	0,0
53.365203	-0.005115	The Joseph Morton	Not Visited	no_visit.png	24,24	0,0
52.976692	-0.024404	The Moon Under Water	Not Visited	no_visit.png	24,24	0,0
52.999841	-0.410512	The Packhorse Inn	Not Visited	no_visit.png	24,24	0,0
